Trial,ND,Genotype,OnTransientPositive,OffTransientNegative,SteadyState,Repeat,Fly
1,0,Gal4,2.78068592418313,-0.184661728430216,-14.8384885995793,1,26
2,0,Gal4,2.35214141190358,-0.200577153566638,-17.2330662970044,2,26
3,0,Gal4,10.4969418734248,-8.23223021616639,-14.9638559034985,3,26
4,0,Gal4,2.76415215516357,-0.350313512388359,-1.52187686017205,4,26
5,0,Gal4,1.30953792736058,-0.0485508513654356,-10.5490998845203,5,26
6,0,Gal4,1.91535568775119,-0.165245991512876,-15.6137682775543,6,26
7,0,Gal4,2.45850600759055,-0.32875724811543,-7.52126429754786,7,26
8,0,Gal4,1.27317628166155,-0.175506482215486,-10.5194667571596,8,26
9,0,Gal4,1.87691228545971,-0.974140294679197,-13.6985972753371,9,26
10,0,Gal4,2.20258859019735,-0.172118229646768,-11.3985546697884,10,26
11,0,Gal4,1.51888819362417,-1.13226985562403,-9.60311045766105,1,30
12,0,Gal4,3.27655538971367,-0.54678537540588,-12.910731272079,2,30
13,0,Gal4,2.9930579963774,-0.565796942679038,-13.4542199808886,3,30
14,0,Gal4,10.9092818991742,-8.34963810643852,-7.34865559022765,4,30
15,0,Gal4,2.45770613147654,-0.654157893629271,-2.36549169328855,5,30
16,0,Gal4,2.27142837146009,-0.183644501004201,-9.05767983954613,6,30
17,0,Gal4,2.19981145520674,-0.444549531522092,-10.7681556620631,7,30
18,0,Gal4,3.03443048030729,-0.392862497353716,-5.95025403885707,8,30
19,0,Gal4,2.46398388295569,-0.187942438509341,-7.33559731346055,9,30
20,0,Gal4,2.73173942205184,-1.31136697735172,-7.57905833304642,10,30
21,0,Gal4,2.66856710345054,-0.724418019564001,-7.4051941385304,1,32
22,0,Gal4,2.05191267464403,-0.697555678183592,-4.79209897163474,2,32
23,0,Gal4,2.28024467448643,-0.78820223956124,-13.6834012134501,3,32
24,0,Gal4,2.45438008865539,-0.418288534767147,-14.2946507479367,4,32
25,0,Gal4,9.76649077739729,-8.76612071459397,-10.7365898875182,5,32
26,0,Gal4,2.42013836548052,-0.673981425140112,-3.10564718599844,6,32
27,0,Gal4,1.2537112414746,-0.154239560763317,-10.6802030531518,7,32
28,0,Gal4,2.38551526717262,-0.514811781716862,-11.6055645976908,8,32
29,0,Gal4,2.67375077307767,-0.44972529240168,-6.42478451381199,9,32
30,0,Gal4,1.82732222932461,-0.286064471972457,-8.11651012659486,10,32
31,0,Gal4,1.75945385478197,-1.90899860169824,-11.2833058367236,1,34
32,0,Gal4,2.40509323780833,-0.53909581437663,-9.15547332935185,2,34
33,0,Gal4,3.16481457853898,-0.550934862577976,-3.73793003464658,3,34
34,0,Gal4,1.92330757956624,-0.487410529342537,-13.8968023873259,4,34
35,0,Gal4,1.91046630888767,-0.378787410736257,-15.4973468696139,5,34
36,0,Gal4,9.5031901909847,-8.7559835106681,-11.1795425221964,6,34
37,0,Gal4,2.59356341453136,-0.575930126228993,-3.54295300751702,7,34
38,0,Gal4,1.04271436116355,-0.268296529453785,-10.6908505469863,8,34
39,0,Gal4,2.26295861518983,-0.510406605738753,-12.1340259699916,9,34
40,0,Gal4,2.29684849164867,-0.342823513496859,-6.9353046759661,10,34
41,0,Gal4,1.60372295665348,-0.15765092600855,-8.77762232116248,1,37
42,0,Gal4,1.47638478241803,-1.41107624221506,-11.4977545217003,2,37
43,0,Gal4,2.44268494719505,-0.746908598149513,-9.69667247874483,3,37
44,0,Gal4,3.02092370185363,-0.569805347470187,-4.12244760923127,4,37
45,0,Gal4,1.33177152252562,-0.491749900366766,-14.1607404752465,5,37
46,0,Gal4,2.06996654533591,-0.0517272878914525,-15.5692632842813,6,37
47,0,Gal4,9.44482881121119,-8.26701545988956,-11.1600410864752,7,37
48,0,Gal4,2.62742136756883,-0.612765450250625,-3.17584925555235,8,37
49,0,Gal4,0.748569659478939,-0.254560563225036,-11.2298481170258,9,37
50,0,Gal4,2.01419371479941,-0.425812616780275,-12.3286498260552,10,37
