trial,keep,date,ND,fly,genotype,intensity,color
0,n,2018-12-21,0,2,BRP,10,w
1,n,2018-12-21,0,2,BRP,100,w
2,n,2018-12-21,0,2,BRP,10,b
3,n,2018-12-21,0,2,BRP,100,b
4,n,2018-12-21,0,2,BRP,100,o
5,n,2018-12-21,0,2,BRP,100,o
6,n,2018-12-21,0,2,BRP,10,o
7,n,2018-12-21,0,2,BRP,100,b
8,n,2018-12-21,0,2,BRP,100,o
9,n,2018-12-21,0,3,DKO,10,w
10,n,2018-12-21,0,3,DKO,10,w
11,n,2018-12-21,0,3,DKO,100,w
12,n,2018-12-21,0,3,DKO,10,b
13,n,2018-12-21,0,3,DKO,100,b
14,n,2018-12-21,0,3,DKO,10,o
15,n,2018-12-21,0,3,DKO,100,b
16,n,2018-12-21,0,3,DKO,10,o
17,n,2018-12-21,0,4,BRP,10,w
18,n,2018-12-21,0,4,BRP,100,b
19,n,2018-12-21,0,4,BRP,10,b
20,n,2018-12-21,0,4,BRP,100,b
21,n,2018-12-21,0,4,BRP,10,o
22,n,2018-12-21,0,4,BRP,100,b
23,n,2018-12-21,0,4,BRP,10,b
24,n,2018-12-21,0,5,DKO,10,w
25,n,2018-12-21,0,5,DKO,100,w
26,n,2018-12-21,0,5,DKO,10,b
27,n,2018-12-21,0,5,DKO,100,b
28,n,2018-12-21,0,5,DKO,10,o
29,n,2018-12-21,0,5,DKO,100,o
30,n,2018-12-21,0,5,DKO,100,o
31,n,1/9/19,0,6,DKO,10,o
32,n,1/9/19,1,6,DKO,100,o
33,n,1/9/19,4,6,DKO,100,w
34,n,1/9/19,3,6,DKO,100,w
35,n,1/9/19,3,6,DKO,10,w
36,n,1/9/19,1,6,DKO,100,w
37,n,1/9/19,0,6,DKO,100,w
38,n,1/9/19,3,6,DKO,100,o
39,n,1/9/19,1,6,DKO,100,o
40,n,1/9/19,3,6,DKO,100,o
41,n,1/9/19,0,6,DKO,10,o
42,n,1/9/19,3,6,DKO,100,b
43,n,1/9/19,1,6,DKO,100,b
44,n,1/9/19,0,6,DKO,10,b
45,n,1/9/19,0,6,DKO,100,b
46,n,1/9/19,4,7,BRP,100,w
47,n,1/9/19,3,7,BRP,100,w
48,n,1/9/19,1,7,BRP,100,w
49,n,1/9/19,0,7,BRP,10,w
50,n,1/9/19,0,7,BRP,100,w
51,n,1/9/19,3,7,BRP,100,o
52,n,1/9/19,3,7,BRP,100,o
53,n,1/9/19,1,7,BRP,100,o
54,n,1/9/19,0,7,BRP,100,o
