trial,keep,date,ND,fly,genotype,intensity,color
294,n,4-4-19,5,25,UAS,100,w
295,n,4-4-19,4,25,UAS,100,w
296,n,4-4-19,3,25,UAS,100,w
297,n,4-4-19,2,25,UAS,100,w
298,n,4-4-19,1,25,UAS,100,w
299,n,4-4-19,0,25,UAS,100,w
300,,4-4-19,5,26,Gal4,100,w
301,,4-4-19,4,26,Gal4,100,w
302,,4-4-19,3,26,Gal4,100,w
303,,4-4-19,2,26,Gal4,100,w
304,,4-4-19,1,26,Gal4,100,w
305,,4-4-19,0,26,Gal4,100,w
306,,4-4-19,5,27,CKO,100,w
307,,4-4-19,4,27,CKO,100,w
308,,4-4-19,3,27,CKO,100,w
309,,4-4-19,2,27,CKO,100,w
310,,4-4-19,1,27,CKO,100,w
311,,4-4-19,0,27,CKO,100,w
312,n,4-4-19,5,28,Gal4,100,w
313,n,4-9-19,5,29,?,100,w
314,n,4-9-19,5,29,?,100,w
315,n,4-9-19,4,29,?,100,w
316,n,4-9-19,3,29,?,100,w
317,n,4-9-19,2,29,?,100,w
318,n,4-9-19,1,29,?,100,w
319,n,4-9-19,0,29,?,100,w
320,,4-9-19,5,30,Gal4,100,w
321,,4-9-19,4,30,Gal4,100,w
322,,4-9-19,3,30,Gal4,100,w
323,,4-9-19,2,30,Gal4,100,w
324,,4-9-19,1,30,Gal4,100,w
325,,4-9-19,0,30,Gal4,100,w
326,n,4-9-19,5,,,100,w
327,n,4-9-19,0,,,100,w
328,,4-9-19,5,31,CKO,100,w
329,,4-9-19,4,31,CKO,100,w
330,,4-9-19,3,31,CKO,100,w
331,,4-9-19,2,31,CKO,100,w
332,,4-9-19,1,31,CKO,100,w
333,,4-9-19,0,31,CKO,100,w
334,,4-10-19,5,32,Gal4,100,w
335,,4-10-19,4,32,Gal4,100,w
336,,4-10-19,3,32,Gal4,100,w
337,,4-10-19,2,32,Gal4,100,w
338,,4-10-19,1,32,Gal4,100,w
339,,4-10-19,0,32,Gal4,100,w
340,,4-10-19,5,33,CKO,100,w
341,,4-10-19,4,33,CKO,100,w
342,,4-10-19,3,33,CKO,100,w
343,,4-10-19,2,33,CKO,100,w
344,,4-10-19,1,33,CKO,100,w
345,,4-10-19,0,33,CKO,100,w
346,,4-10-19,5,34,Gal4,100,w
347,,4-10-19,4,34,Gal4,100,w
348,,4-10-19,3,34,Gal4,100,w
349,,4-10-19,2,34,Gal4,100,w
350,,4-10-19,1,34,Gal4,100,w
351,,4-10-19,0,34,Gal4,100,w
352,,4-10-19,5,35,CKO,100,w
353,,4-10-19,4,35,CKO,100,w
354,,4-10-19,3,35,CKO,100,w
355,,4-10-19,2,35,CKO,100,w
356,,4-10-19,1,35,CKO,100,w
357,,4-10-19,0,35,CKO,100,w
358,n,4-10-19,5,36,Gal4,100,w
359,n,4-10-19,5,36,Gal4,100,w
360,n,4-10-19,4,36,Gal4,100,w
361,n,4-10-19,3,36,Gal4,100,w
362,n,4-10-19,2,36,Gal4,100,w
363,,4-11-19,5,37,Gal4,100,w
364,,4-11-19,4,37,Gal4,100,w
365,,4-11-19,3,37,Gal4,100,w
366,,4-11-19,2,37,Gal4,100,w
367,,4-11-19,1,37,Gal4,100,w
368,,4-11-19,0,37,Gal4,100,w
369,n,4-11-19,5,38,CKO,100,w
370,n,4-11-19,5,38,CKO,100,w
371,n,4-11-19,4,38,CKO,100,w
372,,4-11-19,5,39,CKO,100,w
373,,4-11-19,4,39,CKO,100,w
374,,4-11-19,3,39,CKO,100,w
375,,4-11-19,2,39,CKO,100,w
376,,4-11-19,1,39,CKO,100,w
377,,4-11-19,0,39,CKO,100,w
378,,4-11-19,5,40,Gal4,100,w
379,,4-11-19,4,40,Gal4,100,w
380,,4-11-19,3,40,Gal4,100,w
381,,4-11-19,2,40,Gal4,100,w
382,,4-11-19,1,40,Gal4,100,w
383,,4-11-19,0,40,Gal4,100,w
384,n,4-11-19,5,41,CKO,100,w
385,n,4-11-19,4,41,CKO,100,w
386,n,4-11-19,3,41,CKO,100,w
387,n,4-11-19,2,41,CKO,100,w
388,n,4-11-19,1,41,CKO,100,w
389,n,4-11-19,1,41,CKO,100,w
390,n,4-11-19,0,41,CKO,100,w
391,n,4-11-19,5,42,Gal4,100,w
392,n,4-11-19,4,42,Gal4,100,w
393,n,4-11-19,3,42,Gal4,100,w
394,n,4-11-19,2,42,Gal4,100,w
395,n,4-11-19,5,43,Gal4,100,w
396,n,4-11-19,4,43,Gal4,100,w
397,n,4-11-19,3,43,Gal4,100,w
398,n,4-11-19,2,43,Gal4,100,w
399,n,4-11-19,1,43,Gal4,100,w
400,n,4-11-19,0,43,Gal4,100,w
401,,4-16-19,5,44,Gal4,100,w
402,,4-16-19,4,44,Gal4,100,w
403,,4-16-19,3,44,Gal4,100,w
404,,4-16-19,2,44,Gal4,100,w
405,,4-16-19,1,44,Gal4,100,w
406,,4-16-19,0,44,Gal4,100,w
407,n,4-16-19,5,45,CKO,100,w
408,n,4-16-19,4,45,CKO,100,w
409,,4-16-19,5,46,CKO,100,w
410,,4-16-19,4,46,CKO,100,w
411,,4-16-19,3,46,CKO,100,w
412,,4-16-19,2,46,CKO,100,w
413,,4-16-19,1,46,CKO,100,w
414,,4-16-19,0,46,CKO,100,w
415,,4-16-19,5,47,Gal4,100,w
416,,4-16-19,4,47,Gal4,100,w
417,,4-16-19,3,47,Gal4,100,w
418,,4-16-19,2,47,Gal4,100,w
419,,4-16-19,1,47,Gal4,100,w
420,,4-16-19,0,47,Gal4,100,w
421,,4-16-19,5,48,CKO,100,w
422,,4-16-19,4,48,CKO,100,w
423,,4-16-19,3,48,CKO,100,w
424,,4-16-19,2,48,CKO,100,w
425,,4-16-19,1,48,CKO,100,w
426,,4-16-19,0,48,CKO,100,w
427,n,4-16-19,5,49,Gal4,100,w
428,n,4-16-19,4,49,Gal4,100,w
429,n,4-16-19,3,49,Gal4,100,w
430,n,4-16-19,2,49,Gal4,100,w
431,n,4-16-19,1,49,Gal4,100,w
432,n,4-16-19,0,49,Gal4,100,w
433,,4-16-19,5,50,CKO,100,w
434,,4-16-19,4,50,CKO,100,w
435,,4-16-19,3,50,CKO,100,w
436,,4-16-19,2,50,CKO,100,w
437,,4-16-19,1,50,CKO,100,w
438,,4-16-19,0,50,CKO,100,w
439,n,4-17,5,51,CKO,100,w
440,n,4-17,4,51,CKO,100,w
441,n,4-17,3,51,CKO,100,w
442,n,4-17,2,51,CKO,100,w
443,n,4-17,1,51,CKO,100,w
444,n,4-17,0,51,CKO,100,w
445,n,4-17,5,52,Gal4,100,w
446,n,4-17,4,52,Gal4,100,w
447,n,4-17,3,52,Gal4,100,w
448,n,4-17,2,52,Gal4,100,w
449,n,4-17,1,52,Gal4,100,w
450,n,4-17,0,52,Gal4,100,w
451,,4-18-19,5,53,Gal4,100,w
452,,4-18-19,4,53,Gal4,100,w
453,,4-18-19,3,53,Gal4,100,w
454,,4-18-19,2,53,Gal4,100,w
455,,4-18-19,1,53,Gal4,100,w
456,,4-18-19,0,53,Gal4,100,w
457,,4-18-19,5,54,CKO,100,w
458,,4-18-19,4,54,CKO,100,w
459,,4-18-19,3,54,CKO,100,w
460,,4-18-19,2,54,CKO,100,w
461,,4-18-19,1,54,CKO,100,w
462,,4-18-19,0,54,CKO,100,w
463,n,4-19-19,5,55,Gal4,100,w
464,,4-19-19,5,55,Gal4,100,w
465,,4-19-19,4,55,Gal4,100,w
466,,4-19-19,3,55,Gal4,100,w
467,,4-19-19,2,55,Gal4,100,w
468,,4-19-19,1,55,Gal4,100,w
